timestamp,HR,MAP,SpO2,Temp,RR
51,74.23,93.06,98.56,36.99,15.87
52,73.65,88.91,98.54,37.14,16.0
53,76.22,92.56,97.67,37.04,16.51
54,77.06,91.02,97.92,37.05,16.51
55,76.86,94.5,98.12,37.12,15.08
56,73.32,90.22,97.31,36.96,15.94
57,74.38,93.08,98.8,36.87,16.04
58,75.66,97.93,97.99,37.12,16.27
59,76.95,91.79,98.14,37.01,16.29
60,74.04,90.15,97.71,37.01,18.59
61,74.63,92.17,97.34,36.94,14.82
62,72.79,88.9,97.7,36.94,16.98
63,72.61,97.16,98.11,37.08,17.18
64,76.63,90.54,98.34,37.1,16.49
65,77.71,89.18,98.08,37.08,15.35
66,74.86,87.49,98.17,37.08,17.66
67,77.01,93.29,97.83,37.06,13.81
68,75.72,92.6,98.25,37.01,15.32
69,73.71,88.51,98.74,36.98,17.17
70,75.72,91.73,98.35,37.12,15.63
71,78.08,85.47,98.4,36.96,17.6
72,74.93,90.55,98.15,37.04,14.49
73,78.13,91.36,97.25,36.92,14.89
74,69.76,95.12,97.48,36.93,15.47
75,76.64,87.69,98.23,36.98,16.42
76,75.17,86.16,97.99,36.92,15.78
77,74.4,87.31,98.22,37.08,15.51
78,75.18,85.99,98.84,36.87,17.42
79,71.02,94.01,98.36,37.01,17.51
80,74.56,94.65,98.63,37.01,15.59
81,75.71,90.96,98.05,36.82,14.29
82,77.96,93.66,97.6,36.96,13.84
83,73.96,90.4,97.97,37.03,16.24
84,73.38,89.71,97.6,37.04,16.66
85,74.0,89.0,98.78,36.98,16.06
86,76.83,89.07,98.4,37.07,15.93
87,75.66,85.36,98.26,36.99,15.2
88,73.94,90.79,98.62,37.0,16.65
89,76.03,89.88,96.99,37.03,17.68
90,75.19,92.24,98.29,37.09,13.78
91,76.94,90.28,97.34,36.93,15.92
92,73.6,89.51,98.0,36.95,15.03
93,74.34,87.39,97.84,36.93,14.51
94,74.22,90.22,98.33,36.97,14.87
95,72.07,92.21,98.11,37.14,16.38
96,75.59,86.57,98.67,37.06,16.4
97,75.52,90.26,97.7,36.89,17.46
98,75.01,90.7,98.35,36.94,16.01
99,74.53,87.85,98.08,37.04,14.24
100,72.17,88.24,97.18,36.91,15.76
101,74.16,90.69,97.54,36.93,14.61
102,74.31,86.6,97.93,37.13,14.79
103,73.4,91.05,98.56,36.94,16.58
104,74.68,87.31,98.23,37.1,16.19
105,75.81,93.19,97.42,37.13,16.59
106,78.77,97.01,97.93,36.93,15.64
107,75.35,87.42,99.01,36.91,16.79
108,75.52,91.6,98.06,36.97,15.59
109,74.85,87.82,97.84,36.89,17.12
110,71.16,93.12,98.25,37.01,16.34
111,74.95,86.2,98.38,36.98,15.79
112,75.12,91.44,97.77,37.04,16.21
113,79.93,87.38,98.25,37.14,15.98
114,74.62,89.38,97.84,37.08,17.6
115,75.6,86.91,98.36,37.05,16.25
116,74.93,92.47,98.08,36.8,16.0
117,72.66,87.49,98.24,37.04,15.76
118,77.29,91.66,97.62,37.17,16.84
119,76.5,88.97,97.59,36.7,16.71
120,76.58,89.66,98.47,37.07,15.73
121,73.18,90.44,97.96,36.98,14.84
122,77.81,87.71,98.14,36.92,15.1
123,72.2,90.63,97.85,37.08,15.82
124,76.17,94.59,98.45,37.17,17.35
125,79.38,87.67,97.7,37.08,15.75
126,73.02,93.52,97.93,36.96,15.41
127,73.87,94.49,98.39,36.91,14.24
128,75.2,87.55,98.59,37.01,17.51
129,73.99,85.63,97.74,37.09,16.57
130,71.9,90.91,98.98,36.96,16.8
131,75.14,88.36,98.16,36.97,16.96
132,72.88,95.61,97.48,37.28,15.84
133,75.95,90.1,98.18,37.11,16.08
134,73.16,87.59,97.81,37.12,17.49
135,78.1,86.56,98.22,36.85,16.18
136,73.43,93.27,97.98,36.93,16.59
137,74.36,88.29,98.04,37.01,16.87
138,76.63,90.13,97.54,36.9,16.64
139,72.54,92.87,98.5,37.16,15.87
140,75.45,88.55,97.42,37.14,15.97
141,77.61,89.86,97.45,36.95,16.78
142,71.79,89.95,98.18,37.18,16.78
143,75.37,92.05,98.8,37.0,17.17
144,75.52,91.77,97.82,37.26,16.55
145,76.56,89.34,98.35,37.01,16.6
146,72.53,90.19,98.54,37.06,15.55
147,72.36,88.88,98.41,37.14,15.42
148,76.04,85.57,97.84,37.13,16.78
149,75.59,90.77,97.45,37.05,15.43
150,75.5,95.68,96.9,36.99,15.98
151,75.69,87.35,97.87,37.05,17.38
152,73.64,87.68,98.59,36.92,17.22
153,75.46,87.39,97.44,37.02,16.3
154,75.59,92.17,98.35,36.89,15.7
155,73.57,91.35,97.52,36.82,15.88
156,78.73,89.52,98.05,37.01,16.87
157,75.95,87.25,98.35,37.13,15.96
158,72.62,90.28,97.67,37.09,15.44
159,76.31,85.31,98.09,36.99,17.22
160,73.05,90.43,97.79,37.17,16.18
161,76.57,92.61,98.35,36.94,15.42
162,77.32,86.25,98.12,36.81,16.48
163,73.36,85.4,98.03,36.78,16.97
164,76.93,94.74,98.78,36.88,14.99
165,75.83,88.16,98.33,37.08,15.8
166,76.64,93.41,97.65,36.94,15.75
167,78.79,89.54,97.96,37.05,16.45
168,74.51,89.51,97.96,37.16,16.63
169,73.49,91.32,98.04,36.89,15.45
170,73.22,87.35,99.26,37.05,14.51
171,73.37,90.4,98.19,37.05,17.03
172,74.85,88.86,96.98,36.91,14.88
173,75.68,86.04,97.73,37.14,16.27
174,75.55,91.01,97.03,36.97,15.87
175,76.65,89.21,97.84,36.96,16.16
176,75.03,89.53,97.01,37.21,17.65
177,77.91,86.37,97.56,37.05,19.04
178,74.47,94.77,97.24,37.09,14.37
179,80.44,92.63,98.19,37.14,16.98
180,76.25,92.89,98.0,36.93,15.84
181,73.29,89.08,98.15,37.12,17.05
182,72.86,84.81,97.95,36.95,16.96
183,75.96,95.86,97.3,36.95,17.41
184,74.55,89.82,98.26,36.97,16.28
185,76.43,87.75,98.96,36.94,15.11
186,75.95,91.25,98.2,37.08,16.93
187,74.85,93.5,97.79,37.03,16.12
188,73.31,89.93,97.29,36.95,15.77
189,71.97,93.84,97.55,37.07,15.52
190,74.11,93.25,98.23,36.97,17.01
191,76.71,86.77,98.54,36.97,17.6
192,75.43,87.98,98.13,37.0,14.8
193,72.51,92.87,98.4,37.05,16.62
194,75.35,81.86,98.35,37.04,15.63
195,75.77,89.55,98.25,36.96,14.53
196,73.23,85.71,97.67,37.08,16.15
197,75.31,88.57,98.09,36.98,15.17
198,75.12,89.1,97.58,36.93,14.42
199,72.71,88.93,98.01,36.85,15.22
200,75.72,88.34,98.17,37.1,14.97
201,76.12,86.71,98.84,37.0,15.35
202,77.17,96.88,97.35,37.02,14.67
203,77.11,95.6,98.24,37.1,15.6
204,72.24,86.51,98.74,36.95,15.29
205,73.12,94.75,98.38,36.86,16.38
206,76.03,88.8,98.42,37.01,16.59
207,76.03,90.39,98.29,37.03,16.26
208,76.03,89.81,98.65,36.97,15.76
209,82.71,88.02,97.46,37.15,15.74
210,76.14,92.95,97.31,36.75,15.16
211,77.27,90.38,98.0,37.11,15.19
212,76.91,88.57,96.92,37.08,16.7
213,76.3,86.09,98.62,37.05,14.24
214,74.37,87.32,98.61,36.67,15.92
215,76.52,85.08,97.78,37.13,15.68
216,73.45,90.04,97.81,36.9,16.6
217,74.53,86.41,97.96,36.95,14.57
218,74.03,89.2,98.03,36.98,16.01
219,75.16,94.11,98.06,37.04,16.34
220,79.63,93.6,98.28,37.06,14.1
221,71.27,89.9,97.91,37.09,14.93
222,76.37,89.74,98.47,37.08,15.91
223,71.77,95.64,98.22,37.03,16.51
224,74.06,91.56,97.7,37.04,16.18
225,77.18,89.02,98.67,36.89,16.56
226,75.13,85.72,97.32,36.92,14.92
227,72.84,91.18,97.95,37.09,14.41
228,73.57,92.49,98.48,37.08,16.08
229,76.36,88.11,97.64,37.07,14.77
230,73.54,90.87,98.15,36.95,15.13
231,75.43,88.91,98.27,37.09,16.93
232,75.09,89.45,97.57,36.88,16.19
233,73.7,82.54,97.96,37.11,15.43
234,79.29,89.33,97.92,36.97,15.3
235,76.27,92.91,97.72,37.17,16.62
236,70.95,88.11,99.15,36.85,16.21
237,75.37,90.16,97.62,37.18,14.79
238,73.68,87.73,98.5,36.96,14.05
239,76.7,91.08,97.8,36.96,17.88
240,73.41,89.35,97.46,37.02,14.78
241,74.77,87.18,98.05,36.93,16.53
242,76.01,94.0,98.32,36.99,17.51
243,76.73,92.79,98.46,36.93,16.15
244,72.6,88.19,98.78,36.93,15.4
245,74.33,91.49,99.47,37.05,14.57
246,74.05,91.61,98.13,36.91,14.56
247,73.69,91.93,97.67,36.92,16.38
248,78.53,84.92,98.23,36.86,17.45
249,75.81,93.02,97.87,36.95,15.6
250,72.48,88.29,98.46,37.13,15.44
251,76.84,88.93,97.35,36.92,16.7
252,79.24,97.91,99.18,36.93,15.31
253,77.06,90.91,98.43,37.02,16.27
254,71.96,88.84,97.16,36.96,16.04
255,74.03,83.38,97.65,37.22,15.59
256,77.53,94.17,98.41,36.98,15.98
257,73.58,85.96,98.59,37.03,17.76
258,75.89,86.99,97.36,37.09,16.6
259,76.55,89.01,98.36,37.09,17.09
260,73.15,94.25,97.03,37.02,15.08
261,74.88,92.32,97.96,36.98,17.1
262,68.52,89.53,98.56,37.2,16.64
263,72.95,90.92,97.72,36.99,14.5
264,74.49,88.2,97.25,36.96,16.54
265,72.5,90.42,98.07,36.94,15.49
266,78.26,90.22,97.7,36.83,14.45
267,72.14,92.91,98.31,37.08,16.13
268,74.12,92.9,97.56,36.77,16.54
269,75.26,91.48,97.61,37.0,16.15
270,77.88,88.91,96.99,36.98,15.89
271,72.13,92.23,98.08,37.22,15.67
272,77.33,89.72,97.92,36.82,18.47
273,75.02,86.75,97.41,36.91,14.82
274,73.04,88.79,98.1,36.99,16.87
275,75.92,90.25,98.51,36.98,16.02
276,75.4,92.73,97.89,36.95,15.15
277,73.8,89.45,98.13,36.99,15.95
278,75.14,86.37,98.14,36.87,14.61
279,74.23,90.17,97.4,37.04,15.4
280,75.23,90.34,99.03,36.77,15.95
281,76.32,90.56,97.76,37.0,14.45
282,78.17,92.76,98.33,36.94,16.51
283,72.52,93.06,98.38,37.1,15.04
284,79.27,88.22,97.93,37.18,14.55
285,71.1,88.15,98.3,36.97,14.92
286,74.7,86.88,98.12,37.14,18.18
287,76.18,92.1,97.29,36.97,14.02
288,75.56,94.35,97.83,36.9,16.44
289,73.75,89.05,97.69,37.17,15.25
290,74.58,89.28,97.77,37.05,15.65
291,74.01,94.4,97.35,37.0,16.6
292,73.82,91.52,98.56,37.07,16.55
293,76.7,91.31,98.8,37.03,15.32
294,75.71,86.43,98.49,36.99,14.64
295,73.61,92.04,98.64,36.87,16.62
296,76.8,87.21,97.83,36.97,16.55
297,75.61,86.6,97.68,37.06,15.72
298,76.63,88.96,97.61,36.99,16.44
299,76.26,88.24,98.32,37.09,15.55
300,73.34,89.34,98.11,37.04,15.17
301,73.88,85.68,97.96,36.91,16.0
302,76.49,92.88,98.65,36.87,16.52
303,76.22,93.38,98.2,36.98,16.31
304,74.96,84.16,97.58,36.95,16.51
305,75.23,92.94,97.66,37.03,15.24
306,77.56,87.57,98.34,36.93,17.58
307,73.82,92.57,98.52,36.94,15.66
308,76.09,89.79,98.28,37.11,15.88
309,74.6,90.09,98.95,37.01,14.68
310,74.56,89.44,98.82,36.93,15.81
311,77.2,93.64,98.22,37.0,16.53
312,76.65,86.28,97.58,37.14,16.76
313,76.63,91.82,97.35,37.03,17.56
314,77.61,93.3,97.81,37.06,16.52
315,75.04,92.15,98.38,36.92,16.28
316,76.36,96.97,98.91,37.1,15.55
317,74.38,88.41,98.21,37.23,15.34
318,75.65,92.87,98.58,36.92,16.97
319,74.74,89.68,97.88,36.88,16.95
320,75.19,93.7,98.31,37.02,14.92
321,76.19,89.98,98.41,37.09,16.72
322,73.36,88.84,97.01,36.99,16.65
323,79.18,93.92,97.79,36.89,14.89
324,72.99,88.53,98.47,36.99,16.54
325,72.57,85.76,98.14,37.06,14.95
326,77.32,88.45,97.4,36.96,13.57
327,76.58,91.86,96.78,37.06,15.84
328,76.25,94.18,97.82,37.12,16.26
329,76.26,90.33,97.96,37.02,15.88
330,74.98,93.95,97.56,37.0,18.87
331,73.21,85.93,98.07,37.08,16.38
332,75.15,88.67,98.25,36.91,16.15
333,73.65,89.13,98.34,36.9,16.43
334,76.95,89.66,96.82,36.97,15.56
335,74.71,90.25,97.34,36.95,16.93
336,73.35,92.07,97.85,36.92,16.36
337,74.36,88.67,98.29,37.18,16.32
338,75.83,90.42,98.24,37.22,15.38
339,73.87,89.86,98.24,36.96,14.44
340,73.36,87.22,97.81,37.01,15.5
341,75.49,89.66,97.84,36.98,16.28
342,75.49,89.57,97.64,37.11,15.56
343,73.99,89.5,98.38,37.13,16.29
344,74.06,90.1,97.54,36.82,15.77
345,75.46,90.23,98.43,37.05,16.43
346,72.1,88.7,98.1,36.87,15.02
347,72.19,93.82,97.98,37.18,16.19
348,73.56,86.49,97.67,37.04,15.36
349,74.57,87.84,97.32,36.92,14.46
350,75.62,98.34,97.68,36.98,15.83
351,77.95,86.89,97.83,36.97,17.54
352,76.72,85.94,96.82,37.05,14.54
353,74.68,92.2,97.9,37.1,16.12
354,74.96,83.77,98.46,36.89,16.8
355,72.99,89.29,98.28,37.18,18.3
356,74.96,96.44,97.75,37.16,15.51
357,74.42,85.37,98.02,36.91,15.37
358,75.65,84.05,97.72,37.01,14.83
359,73.35,85.5,98.07,37.17,17.14
360,76.04,92.7,98.77,37.12,15.13
361,78.07,93.37,98.48,36.97,15.63
362,74.78,88.46,98.26,37.08,14.15
363,75.8,92.05,97.75,37.3,16.88
364,76.38,94.17,98.37,37.01,17.16
365,74.2,95.36,97.16,36.94,16.85
366,75.45,89.26,97.87,37.02,14.39
367,75.03,83.1,98.29,37.02,16.61
368,75.2,87.54,98.37,36.95,14.33
369,73.45,88.72,98.33,37.04,16.06
370,75.05,89.22,98.15,36.87,16.21
371,76.0,89.44,97.9,36.93,16.31
372,77.9,93.36,98.27,37.08,16.53
373,76.92,93.82,97.52,36.82,15.99
374,79.31,89.48,97.58,37.09,14.04
375,73.47,93.3,98.03,36.8,16.54
376,76.74,91.07,98.09,36.83,16.1
377,75.37,90.19,97.09,36.95,15.1
378,79.38,92.72,98.23,37.03,14.43
379,73.38,90.22,98.39,37.13,17.54
380,73.32,96.17,97.96,37.01,17.23
381,73.8,85.68,99.19,36.98,16.71
382,70.75,88.45,97.66,37.06,15.32
383,73.95,89.62,97.82,36.91,13.48
384,73.48,91.32,97.8,37.01,16.76
385,75.3,93.8,97.96,36.88,16.37
386,75.68,89.93,97.84,37.01,15.63
387,78.75,85.73,97.3,36.99,17.12
388,76.9,92.53,97.73,36.92,16.85
389,73.85,92.26,97.95,37.02,16.18
390,73.2,84.17,98.61,37.02,16.04
391,75.98,89.99,99.1,37.12,16.05
392,72.36,85.23,98.67,36.84,16.68
393,78.66,88.01,97.61,36.99,15.14
394,77.36,87.29,97.65,36.92,16.43
395,74.06,92.43,97.92,37.09,15.08
396,71.57,90.35,98.89,37.08,17.34
397,77.71,86.14,97.92,37.05,16.53
398,74.77,92.64,97.34,36.93,15.31
399,77.48,85.7,97.75,37.09,16.08
400,71.81,90.99,98.38,36.85,15.15
401,73.8,87.56,98.34,36.83,17.5
402,75.01,88.9,97.9,36.87,17.62
403,75.09,91.51,98.34,37.0,16.7
404,74.1,91.56,96.86,37.07,17.56
405,76.25,94.01,98.05,36.7,16.15
406,72.86,89.75,98.43,37.13,16.76
407,74.72,90.92,97.58,37.01,17.22
408,75.24,88.69,97.58,36.84,15.99
409,76.03,90.55,97.07,37.01,16.07
410,76.42,91.32,98.79,37.11,16.93
411,72.75,89.71,97.64,37.06,16.65
412,71.93,84.59,98.12,37.11,15.24
413,77.56,90.99,98.3,36.86,13.81
414,75.66,91.09,98.76,36.96,15.82
415,73.5,87.96,97.92,36.91,13.9
416,78.1,86.15,97.73,37.17,15.01
417,75.23,94.43,98.09,37.06,15.13
418,77.36,91.47,98.64,37.28,15.43
419,75.14,89.31,97.91,36.95,16.82
420,79.12,86.59,97.52,36.93,17.04
421,78.51,87.53,97.23,36.99,16.51
422,74.5,93.91,97.39,37.14,16.63
423,76.94,90.41,98.43,36.96,16.66
424,76.29,88.35,97.84,37.01,13.5
425,77.74,91.53,97.7,37.01,16.01
426,73.07,87.56,97.64,37.0,14.2
427,76.37,94.5,98.04,36.93,16.51
428,77.12,94.06,97.88,36.99,13.91
429,71.48,88.6,97.86,36.98,15.82
430,72.63,88.11,98.67,37.0,16.55
431,70.92,82.15,98.77,37.09,14.88
432,74.46,85.56,97.19,37.18,16.96
433,76.44,85.98,98.16,36.92,16.51
434,78.0,90.41,97.61,36.96,16.38
435,75.15,89.02,97.88,36.92,16.7
436,78.26,85.96,98.15,37.02,15.64
437,72.24,89.16,97.89,36.95,16.15
438,71.59,91.52,98.12,37.02,16.01
439,74.89,91.58,98.34,37.11,15.99
440,75.77,84.3,98.15,36.75,15.33
441,74.93,89.62,97.68,37.05,14.76
442,70.87,85.85,97.69,36.95,15.66
443,74.82,92.71,97.28,37.05,15.61
444,72.39,92.35,97.57,36.91,15.26
445,76.34,87.31,98.98,37.12,16.85
446,75.73,87.7,97.6,37.09,14.83
447,73.12,88.62,97.4,37.06,15.83
448,73.97,83.24,98.16,37.08,17.17
449,72.88,91.01,97.94,36.93,16.91
450,74.87,89.18,97.9,36.94,17.22
451,76.91,92.91,98.7,37.08,15.41
452,73.03,86.7,98.27,36.92,16.78
453,76.01,88.14,97.74,37.14,14.94
454,73.94,85.48,97.79,36.97,15.72
455,73.41,86.99,97.75,37.05,15.82
456,74.79,86.45,98.44,37.21,15.42
457,72.93,92.99,97.85,36.93,15.64
458,73.89,87.91,97.1,37.01,15.51
459,72.6,90.37,97.98,37.11,15.02
460,78.93,88.86,97.23,37.1,16.86
461,75.07,86.19,99.09,36.97,15.82
462,73.6,89.5,97.52,36.95,16.2
463,75.43,91.8,97.92,36.98,16.16
464,74.78,86.38,98.13,37.14,16.05
465,74.56,92.43,97.86,36.97,16.09
466,76.23,87.45,97.85,37.01,15.69
467,76.52,88.55,98.21,36.96,17.42
468,73.94,91.59,98.76,37.07,16.76
469,73.85,88.01,98.38,37.02,16.02
470,74.45,90.11,98.74,36.9,15.55
471,70.4,89.06,97.48,36.9,15.88
472,71.97,90.39,98.16,36.8,16.42
473,77.73,82.86,98.08,36.92,17.5
474,78.29,84.51,98.18,37.08,14.63
475,74.5,91.85,98.69,37.13,16.66
476,76.15,93.11,97.89,37.07,17.13
477,75.62,87.27,97.8,37.06,14.51
478,81.16,89.27,98.27,36.99,15.82
479,77.24,90.88,97.11,37.08,14.94
480,74.74,92.08,97.88,37.03,16.43
481,73.09,83.92,97.93,37.18,15.64
482,71.79,87.34,97.54,36.99,15.87
483,75.41,89.0,98.53,37.13,15.59
484,73.49,92.11,97.47,37.09,16.72
485,72.16,97.5,97.93,37.07,16.23
486,73.71,89.32,98.15,36.8,16.23
487,72.84,85.78,98.68,37.09,16.16
488,78.37,91.21,97.99,36.99,16.57
489,76.76,93.96,98.47,36.96,15.74
490,74.98,90.32,98.35,36.85,17.7
491,77.96,87.28,98.06,37.0,14.77
492,75.15,92.87,97.46,37.0,14.27
493,73.28,91.99,97.28,36.87,14.19
494,78.05,86.92,98.05,36.85,13.92
495,76.08,91.14,97.73,37.05,16.67
496,72.93,92.99,98.46,37.09,16.55
497,74.62,93.55,98.37,37.02,17.21
498,73.25,89.8,97.91,37.12,14.94
499,72.23,88.93,97.42,36.99,16.75
500,76.85,93.68,98.26,36.99,16.06
501,78.82,86.37,97.49,36.91,16.17
502,72.2,91.32,97.62,36.84,16.63
503,76.13,85.89,97.51,37.19,15.24
504,73.7,93.2,97.93,37.11,18.59
505,74.03,89.23,98.59,36.86,17.33
506,73.82,93.81,98.0,37.02,15.47
507,73.27,91.47,97.78,36.99,14.91
508,75.1,86.33,97.24,36.97,15.91
509,73.34,94.27,98.28,36.96,16.18
510,75.54,94.65,97.61,37.04,17.07
511,74.9,92.65,98.06,37.08,14.83
512,74.52,87.72,97.82,37.04,16.29
513,73.18,89.08,98.42,36.99,14.47
514,73.85,90.44,97.92,36.98,16.44
515,76.51,87.89,97.97,37.09,15.89
516,76.0,95.08,98.24,37.05,17.94
517,73.04,90.43,99.05,37.01,14.45
518,75.2,81.89,98.44,37.0,17.37
519,76.5,91.02,97.96,37.03,14.3
520,71.66,88.96,98.0,36.95,14.67
521,76.09,89.78,97.74,37.08,14.32
522,73.67,88.89,97.53,36.89,16.25
523,76.14,92.42,97.72,36.96,14.83
524,73.47,93.36,97.61,37.06,14.65
525,71.39,90.85,98.33,36.89,16.2
526,71.74,88.98,97.46,36.84,16.45
527,75.1,89.88,98.67,37.01,16.04
528,75.52,90.06,98.38,36.83,15.84
529,73.19,87.59,98.01,36.87,17.83
530,76.28,91.74,98.0,37.08,16.15
531,71.68,91.38,97.72,36.98,16.81
532,74.87,94.62,98.14,37.13,16.14
533,72.58,93.77,98.54,36.88,14.9
534,73.7,87.94,97.65,36.99,16.55
535,75.09,92.46,97.23,37.04,15.34
536,73.28,87.15,98.35,36.88,15.91
537,74.23,92.09,98.16,37.1,16.31
538,77.01,88.45,97.44,37.05,14.06
539,73.85,86.93,97.63,36.84,14.39
540,76.67,90.84,97.57,37.0,16.91
541,72.74,81.98,97.64,37.04,15.34
542,76.06,84.75,97.84,36.94,15.38
543,77.88,89.47,97.87,36.85,16.17
544,70.06,90.25,97.67,37.03,15.61
545,73.41,88.89,97.62,37.22,16.42
546,76.15,85.26,97.89,36.96,15.95
547,74.59,87.55,98.08,37.16,16.2
548,75.74,91.17,97.84,36.92,15.3
549,73.79,91.75,98.58,37.02,16.19
550,75.17,89.95,98.25,37.08,17.11
551,74.69,93.47,97.2,37.0,15.43
552,77.34,91.19,98.26,36.97,16.92
553,75.51,87.76,98.3,37.07,15.95
554,75.68,89.16,97.78,37.19,16.73
555,74.18,85.79,97.25,37.03,16.13
556,74.02,89.68,98.0,36.95,15.97
557,74.13,93.34,98.0,36.98,16.35
558,75.79,92.06,97.44,37.25,17.21
559,74.16,94.21,97.27,37.01,16.24
560,75.58,89.09,97.96,36.94,16.48
561,79.15,94.04,97.88,36.89,15.63
562,76.74,89.42,97.79,36.82,17.57
563,74.35,94.41,97.96,37.04,16.64
564,77.4,89.93,97.45,37.07,16.08
565,74.18,92.12,97.78,36.96,15.88
566,70.92,94.43,98.27,37.0,16.98
567,72.98,89.42,97.83,36.88,15.39
568,71.26,90.66,97.16,37.01,14.22
569,74.3,93.87,97.76,37.05,16.07
570,75.04,89.6,97.46,36.95,17.19
571,78.35,86.04,98.13,37.17,17.59
572,75.65,96.43,98.16,36.92,15.89
573,74.56,88.59,97.17,37.03,16.04
574,76.66,90.48,98.38,37.08,16.52
575,70.58,93.47,97.44,36.99,15.74
576,75.47,88.17,98.78,36.98,16.52
577,76.54,86.98,97.98,36.86,15.91
578,72.04,90.76,97.38,37.14,17.01
579,77.29,84.62,97.43,36.98,16.72
580,75.68,89.14,98.17,37.05,16.81
581,74.17,90.74,97.8,37.07,15.79
582,76.27,89.19,97.95,36.94,17.93
583,79.54,85.37,98.81,36.98,16.48
584,75.36,94.78,97.65,37.13,16.25
585,75.5,90.31,98.03,36.89,15.24
586,74.08,94.29,98.71,37.21,15.9
587,73.3,89.22,98.14,36.93,16.11
588,76.66,87.36,97.2,36.88,15.21
589,73.29,90.81,98.25,37.01,15.71
590,75.14,89.35,97.42,37.22,15.83
591,74.04,86.47,98.7,36.81,16.06
592,75.96,94.41,97.59,36.99,14.24
593,75.67,88.13,99.48,37.05,15.86
594,77.08,84.48,98.73,37.0,15.62
595,73.98,93.98,97.6,37.04,15.98
596,74.46,88.49,98.01,36.93,17.04
597,73.04,88.18,98.38,36.94,18.05
598,74.11,84.7,98.39,36.99,16.68
599,75.75,95.22,98.22,36.89,14.77
600,76.51,86.13,98.63,37.0,15.65
601,73.16,90.18,97.94,36.96,16.6
602,76.74,92.74,97.82,36.95,16.48
603,77.71,91.27,97.83,37.03,16.99
604,75.83,89.82,98.43,36.82,15.9
605,78.75,84.9,98.18,36.98,15.64
606,73.45,87.57,98.15,37.23,17.75
607,72.51,90.56,98.4,36.89,16.06
608,71.44,87.64,96.97,37.13,14.98
609,77.99,90.61,98.16,37.01,17.48
610,76.31,92.05,98.11,36.94,14.5
611,74.89,92.89,98.83,36.87,12.5
612,75.56,86.32,97.24,37.01,16.77
613,72.75,96.59,98.78,37.15,16.91
614,79.89,92.3,98.04,36.96,16.41
615,75.26,89.99,98.24,36.99,14.7
616,75.22,93.27,98.84,37.1,15.94
617,76.45,97.1,98.28,37.03,15.72
618,75.96,85.68,98.2,36.84,15.46
619,75.45,89.32,98.12,37.01,17.41
620,73.42,82.86,97.76,37.15,14.95
621,75.94,90.58,97.99,37.0,16.32
622,78.76,91.1,97.64,36.73,17.19
623,77.69,89.88,97.98,37.04,16.38
624,78.19,88.04,96.83,36.98,17.24
625,73.98,83.85,98.21,36.82,16.56
626,73.02,91.12,97.94,36.83,16.43
627,74.75,94.37,97.83,37.1,16.37
628,75.11,88.23,98.11,36.93,16.61
629,77.19,91.32,97.28,36.91,15.61
630,71.62,85.3,98.96,37.0,14.7
631,78.06,91.37,97.95,36.94,16.95
632,74.68,88.82,97.93,37.01,17.16
633,74.15,87.71,97.52,36.98,16.25
